Source,Target,Weight
张三丰,俞岱岩,20547
张三丰,张翠山,27175
张三丰,宋远桥,9953
张三丰,殷梨亭,7467
张三丰,俞莲舟,11277
张三丰,殷素素,10736
张三丰,谢逊,7911
张三丰,张无忌,58895
张三丰,何太冲,3419
张三丰,纪晓芙,7404
张三丰,周芷若,7040
张三丰,胡青牛,3886
张三丰,金花婆婆,932
张三丰,韦一笑,7513
张三丰,宋青书,2155
张三丰,小昭,1969
张三丰,赵敏,12437
张三丰,鹿杖客,650
俞岱岩,张三丰,20547
俞岱岩,张翠山,16278
俞岱岩,宋远桥,5932
俞岱岩,殷梨亭,3616
俞岱岩,俞莲舟,3868
俞岱岩,殷素素,2762
俞岱岩,谢逊,1386
俞岱岩,张无忌,11504
俞岱岩,何太冲,402
俞岱岩,纪晓芙,545
俞岱岩,周芷若,863
俞岱岩,胡青牛,267
俞岱岩,小昭,458
俞岱岩,韦一笑,2227
俞岱岩,宋青书,266
俞岱岩,赵敏,3237
俞岱岩,鹿杖客,263
张翠山,张三丰,27175
张翠山,俞岱岩,16278
张翠山,宋远桥,14188
张翠山,殷梨亭,9815
张翠山,俞莲舟,41258
张翠山,殷素素,85300
张翠山,谢逊,64083
张翠山,张无忌,6683
张翠山,何太冲,1469
张翠山,纪晓芙,1846
张翠山,周芷若,717
张翠山,胡青牛,542
张翠山,金花婆婆,313
张翠山,宋青书,370
张翠山,韦一笑,200
张翠山,小昭,308
张翠山,赵敏,666
宋远桥,张三丰,9953
宋远桥,俞岱岩,5932
宋远桥,张翠山,14188
宋远桥,殷梨亭,3549
宋远桥,俞莲舟,8040
宋远桥,殷素素,6356
宋远桥,谢逊,4163
宋远桥,张无忌,18846
宋远桥,何太冲,1059
宋远桥,纪晓芙,909
宋远桥,周芷若,3170
宋远桥,胡青牛,123
宋远桥,韦一笑,895
宋远桥,宋青书,2170
宋远桥,小昭,1378
宋远桥,赵敏,6539
宋远桥,鹿杖客,572
殷梨亭,张三丰,7467
殷梨亭,俞岱岩,3616
殷梨亭,张翠山,9815
殷梨亭,宋远桥,3549
殷梨亭,俞莲舟,8628
殷梨亭,谢逊,3249
殷梨亭,殷素素,4381
殷梨亭,何太冲,1273
殷梨亭,纪晓芙,1368
殷梨亭,张无忌,35706
殷梨亭,周芷若,8681
殷梨亭,胡青牛,660
殷梨亭,金花婆婆,927
殷梨亭,宋青书,5878
殷梨亭,韦一笑,3522
殷梨亭,小昭,1519
殷梨亭,赵敏,6526
殷梨亭,鹿杖客,384
俞莲舟,张三丰,11277
俞莲舟,俞岱岩,3868
俞莲舟,张翠山,41258
俞莲舟,宋远桥,8040
俞莲舟,殷梨亭,8628
俞莲舟,谢逊,9855
俞莲舟,殷素素,20697
俞莲舟,张无忌,20476
俞莲舟,何太冲,1289
俞莲舟,纪晓芙,800
俞莲舟,周芷若,8478
俞莲舟,韦一笑,1065
俞莲舟,小昭,1022
俞莲舟,宋青书,4144
俞莲舟,赵敏,5033
俞莲舟,鹿杖客,643
殷素素,张翠山,85300
殷素素,俞岱岩,2762
殷素素,张三丰,10736
殷素素,宋远桥,6356
殷素素,谢逊,43353
殷素素,张无忌,1793
殷素素,俞莲舟,20697
殷素素,何太冲,621
殷素素,殷梨亭,4381
殷素素,纪晓芙,690
殷素素,胡青牛,188
殷素素,宋青书,117
殷素素,韦一笑,171
谢逊,张翠山,64083
谢逊,俞岱岩,1386
谢逊,殷素素,43353
谢逊,张三丰,7911
谢逊,宋远桥,4163
谢逊,张无忌,94687
谢逊,俞莲舟,9855
谢逊,何太冲,1453
谢逊,殷梨亭,3249
谢逊,纪晓芙,688
谢逊,周芷若,25293
谢逊,胡青牛,1144
谢逊,金花婆婆,28001
谢逊,韦一笑,2222
谢逊,小昭,11227
谢逊,宋青书,7252
谢逊,赵敏,36970
谢逊,鹿杖客,4704
张无忌,谢逊,94687
张无忌,张翠山,6683
张无忌,殷素素,1793
张无忌,张三丰,58895
张无忌,宋远桥,18846
张无忌,俞莲舟,20476
张无忌,俞岱岩,11504
张无忌,殷梨亭,35706
张无忌,何太冲,47762
张无忌,纪晓芙,30687
张无忌,周芷若,139266
张无忌,胡青牛,47512
张无忌,金花婆婆,61240
张无忌,韦一笑,35822
张无忌,宋青书,45161
